271	"Maiduguri"	"Maiduguri"	"Nigeria"	"MIU"
272	"Makurdi"	"Makurdi"	"Nigeria"	"MDI"
273	"Murtala Muhammed"	"Lagos"	"Nigeria"	"LOS"
274	"Minna New"	"Minna"	"Nigeria"	"MXJ"
275	"Port Harcourt Intl"	"Port Hartcourt"	"Nigeria"	"PHC"
276	"Sadiq Abubakar Iii Intl"	"Sokoto"	"Nigeria"	"SKO"
277	"Yola"	"Yola"	"Nigeria"	"YOL"
278	"Zaria"	"Zaria"	"Nigeria"	"ZAR"
279	"Maradi"	"Maradi"	"Niger"	"MFQ"
280	"Diori Hamani"	"Niamey"	"Niger"	"NIM"
281	"Tahoua"	"Tahoua"	"Niger"	"THZ"
282	"Manu Dayak"	"Agadez"	"Niger"	"AJY"
283	"Dirkou"	"Dirkou"	"Niger"	""
284	"Diffa"	"Diffa"	"Niger"	""
285	"Zinder"	"Zinder"	"Niger"	"ZND"
286	"Habib Bourguiba Intl"	"Monastir"	"Tunisia"	"MIR"
287	"Carthage"	"Tunis"	"Tunisia"	"TUN"
288	"Sidi Ahmed Air Base"	"Bizerte"	"Tunisia"	""
289	"Remada"	"Remada"	"Tunisia"	""
290	"Gafsa"	"Gafsa"	"Tunisia"	"GAF"
291	"Gabes"	"Gabes"	"Tunisia"	"GAE"
292	"Borj El Amri"	"Bordj El Amri"	"Tunisia"	""
293	"Zarzis"	"Djerba"	"Tunisia"	"DJE"
294	"El Borma"	"El Borma"	"Tunisia"	"EBM"
295	"Thyna"	"Sfax"	"Tunisia"	"SFA"
296	"Nefta"	"Tozeur"	"Tunisia"	"TOE"
297	"Niamtougou International"	"Niatougou"	"Togo"	"LRL"
298	"Gnassingbe Eyadema Intl"	"Lome"	"Togo"	"LFW"
299	"Deurne"	"Antwerp"	"Belgium"	"ANR"
300	"Beauvechain"	"Beauvechain"	"Belgium"	""
301	"Kleine Brogel"	"Kleine Brogel"	"Belgium"	""
302	"Brussels Natl"	"Brussels"	"Belgium"	"BRU"
303	"Bertrix"	"Bertrix"	"Belgium"	""
304	"Brussels South"	"Charleroi"	"Belgium"	"CRL"
305	"Chievres Ab"	"Chievres"	"Belgium"	""
306	"Koksijde"	"Koksijde"	"Belgium"	""
307	"Florennes"	"Florennes"	"Belgium"	""
308	"Wevelgem"	"Kortrijk-vevelgem"	"Belgium"	"QKT"
309	"Liege"	"Liege"	"Belgium"	"LGG"
310	"Oostende"	"Ostend"	"Belgium"	"OST"
311	"Zutendaal"	"Zutendaal"	"Belgium"	""
312	"Sint Truiden"	"Sint-truiden"	"Belgium"	""
313	"Saint Hubert Mil"	"St.-hubert"	"Belgium"	""
314	"Ursel"	"Ursel"	"Belgium"	""
315	"Weelde"	"Weelde"	"Belgium"	""
316	"Zoersel"	"Zoersel"	"Belgium"	""
317	"Bautzen"	"Bautzen"	"Germany"	"BBJ"
318	"Altenburg Nobitz"	"Altenburg"	"Germany"	"AOC"
319	"Dessau"	"Dessau"	"Germany"	""
320	"Eisenhuttenstadt"	"Eisenhuettenstadt"	"Germany"	""
6891	"Putnam County Airport"	"Greencastle"	"United States"	"4I7"
322	"Grossenhain"	"Suhl"	"Germany"	""
323	"Merseburg"	"Muehlhausen"	"Germany"	""
324	"Halle Oppin"	"Halle"	"Germany"	""
325	"Riesa Gohlis"	"Riesa"	"Germany"	""
326	"Rechlin Larz"	"Rechlin-laerz"	"Germany"	""
327	"Strausberg"	"Strausberg"	"Germany"	""
328	"Schonhagen"	"Schoenhagen"	"Germany"	""
329	"Barth"	"Barth"	"Germany"	"BBH"
330	"Jena Schongleina"	"Jena"	"Germany"	""
331	"Kyritz"	"Kyritz"	"Germany"	""
332	"Magdeburg"	"Magdeburg"	"Germany"	""
333	"Rothenburg Gorlitz"	"Rothenburg/ol"	"Germany"	""
334	"Anklam"	"Anklam"	"Germany"	""
335	"Cottbus Drewitz"	"Cottbus"	"Germany"	""
336	"Kamenz"	"Kamenz"	"Germany"	""
337	"Schonefeld"	"Berlin"	"Germany"	"SXF"
338	"Dresden"	"Dresden"	"Germany"	"DRS"
339	"Erfurt"	"Erfurt"	"Germany"	"ERF"
340	"Frankfurt Main"	"Frankfurt"	"Germany"	"FRA"
341	"Munster Osnabruck"	"Munster"	"Germany"	"FMO"
342	"Hamburg"	"Hamburg"	"Germany"	"HAM"
343	"Tempelhof"	"Berlin"	"Germany"	"THF"
344	"Koln Bonn"	"Cologne"	"Germany"	"CGN"
345	"Dusseldorf"	"Duesseldorf"	"Germany"	"DUS"
346	"Franz Josef Strauss"	"Munich"	"Germany"	"MUC"
347	"Nurnberg"	"Nuernberg"	"Germany"	"NUE"
348	"Leipzig Halle"	"Leipzig"	"Germany"	"LEJ"
349	"Saarbrucken"	"Saarbruecken"	"Germany"	"SCN"
350	"Stuttgart"	"Stuttgart"	"Germany"	"STR"
351	"Tegel"	"Berlin"	"Germany"	"TXL"
352	"Hannover"	"Hannover"	"Germany"	"HAJ"
353	"Neuenland"	"Bremen"	"Germany"	"BRE"
354	"Egelsbach"	"Egelsbach"	"Germany"	""
355	"Frankfurt Hahn"	"Hahn"	"Germany"	"HHN"
356	"Mannheim City"	"Mannheim"	"Germany"	"MHG"
357	"Allendorf Eder"	"Allendorf"	"Germany"	""
358	"Worms"	"Worms"	"Germany"	""
359	"Mainz Finthen"	"Mainz"	"Germany"	""
360	"Eisenach Kindel"	"Eisenach"	"Germany"	""
361	"Siegerland"	"Siegerland"	"Germany"	""
362	"Hamburg Finkenwerder"	"Hamburg"	"Germany"	"XFW"
363	"Kiel Holtenau"	"Kiel"	"Germany"	"KEL"
364	"Lubeck Blankensee"	"Luebeck"	"Germany"	"LBC"
365	"Dahlemer Binz"	"Dahlemer Binz"	"Germany"	""
366	"Meinerzhagen"	"Meinerzhagen"	"Germany"	""
367	"Arnsberg Menden"	"Arnsberg"	"Germany"	"ZCA"
368	"Essen Mulheim"	"Essen"	"Germany"	"ESS"
369	"Bielefeld"	"Bielefeld"	"Germany"	""
370	"Monchengladbach"	"Moenchengladbach"	"Germany"	"MGL"
371	"Paderborn Lippstadt"	"Paderborn"	"Germany"	"PAD"
372	"Stadtlohn Vreden"	"Stadtlohn"	"Germany"	""
373	"Dortmund"	"Dortmund"	"Germany"	"DTM"
374	"Augsburg"	"Augsburg"	"Germany"	"AGB"
375	"Biberach An Der Riss"	"Biberach"	"Germany"	""
376	"Eggenfelden"	"Eggenfelden"	"Germany"	""
377	"Mindelheim Mattsies"	"Mindelheim"	"Germany"	""
378	"Oberpfaffenhofen"	"Oberpfaffenhofen"	"Germany"	"OBF"
379	"Straubing"	"Straubing"	"Germany"	""
380	"Vilshofen"	"Vilshofen"	"Germany"	""
381	"Leutkirch Unterzeil"	"Leutkirch"	"Germany"	""
382	"Friedrichshafen"	"Friedrichshafen"	"Germany"	"FDH"
383	"Schwerin Parchim"	"Parchim"	"Germany"	"SZW"
384	"Stendal Borstel"	"Stendal"	"Germany"	"ZSN"
385	"Aalen Heidenheim Elchingen"	"Aalen-heidenheim"	"Germany"	""
386	"Bayreuth"	"Bayreuth"	"Germany"	"BYU"
387	"Burg Feuerstein"	"Burg Feuerstein"	"Germany"	""
388	"Hof Plauen"	"Hof"	"Germany"	"HOQ"
389	"Hassfurt Schweinfurt"	"Hassfurt"	"Germany"	""
390	"Koblenz Winningen"	"Koblenz"	"Germany"	"ZNV"
391	"Trier Fohren"	"Trier"	"Germany"	"ZQF"
392	"Speyer"	"Speyer"	"Germany"	"ZQC"
393	"Zweibrucken"	"Zweibruecken"	"Germany"	""
394	"Donaueschingen Villingen"	"Donaueschingen"	"Germany"	"ZQL"
395	"Freiburg"	"Freiburg"	"Germany"	""
396	"Mengen Hohentengen"	"Mengen"	"Germany"	""
397	"Schwabisch Hall"	"Schwaebisch Hall"	"Germany"	""
398	"Finsterwalde Schacksdorf"	"Soest"	"Germany"	""
399	"Braunschweig Wolfsburg"	"Braunschweig"	"Germany"	"BWE"
400	"Kassel Calden"	"Kassel"	"Germany"	"KSF"
401	"Hildesheim"	"Hildesheim"	"Germany"	""
402	"Bremerhaven"	"Bremerhaven"	"Germany"	"BRV"
403	"Emden"	"Emden"	"Germany"	"EME"
404	"Leer Papenburg"	"Leer"	"Germany"	""
405	"Wilhelmshaven Mariensiel"	"Wilhelmshaven"	"Germany"	"WVN"
406	"Borkum"	"Borkum"	"Germany"	"BMK"
407	"Norderney"	"Norderney"	"Germany"	"NRD"
408	"Flensburg Schaferhaus"	"Flensburg"	"Germany"	"FLF"
409	"Rendsburg Schachtholm"	"Rendsburg"	"Germany"	""
410	"Westerland Sylt"	"Westerland"	"Germany"	"GWT"
411	"Amari"	"Armari Air Force Base"	"Estonia"	""
412	"Kardla"	"Kardla"	"Estonia"	"KDL"
413	"Kuressaare"	"Kuressaare"	"Estonia"	"URE"
414	"Parnu"	"Parnu"	"Estonia"	"EPU"
415	"Tallinn"	"Tallinn-ulemiste International"	"Estonia"	"TLL"
416	"Tartu"	"Tartu"	"Estonia"	"TAY"
417	"Enontekio"	"Enontekio"	"Finland"	"ENF"
418	"Eura"	"Eura"	"Finland"	""
419	"Halli"	"Halli"	"Finland"	"KEV"
420	"Helsinki Malmi"	"Helsinki"	"Finland"	"HEM"
421	"Helsinki Vantaa"	"Helsinki"	"Finland"	"HEL"
422	"Hameenkyro"	"Hameenkyro"	"Finland"	""
423	"Hanko"	"Hanko"	"Finland"	""
424	"Hyvinkaa"	"Hyvinkaa"	"Finland"	"HYV"
425	"Kiikala"	"Kikala"	"Finland"	""
426	"Immola"	"Immola"	"Finland"	""
427	"Kitee"	"Kitee"	"Finland"	""
428	"Ivalo"	"Ivalo"	"Finland"	"IVL"
429	"Joensuu"	"Joensuu"	"Finland"	"JOE"
430	"Jyvaskyla"	"Jyvaskyla"	"Finland"	"JYV"
431	"Kauhava"	"Kauhava"	"Finland"	"KAU"
432	"Kemi Tornio"	"Kemi"	"Finland"	"KEM"
433	"Kajaani"	"Kajaani"	"Finland"	"KAJ"
434	"Kauhajoki"	"Kauhajoki"	"Finland"	""
435	"Kruunupyy"	"Kruunupyy"	"Finland"	"KOK"
436	"Kemijarvi"	"Kemijarvi"	"Finland"	""
437	"Kuusamo"	"Kuusamo"	"Finland"	"KAO"
438	"Kittila"	"Kittila"	"Finland"	"KTT"
439	"Kuopio"	"Kuopio"	"Finland"	"KUO"
440	"Lahti Vesivehmaa"	"Vesivehmaa"	"Finland"	""
441	"Lappeenranta"	"Lappeenranta"	"Finland"	"LPP"
